Province,City,Price,Square Feet,Baths,Bedrooms,Property Type,Year Built
BC,Vancouver,799900.0,1108.0,2.0,2.0,CONDO,2013.0
BC,Vancouver,815000.0,817.0,2.0,2.0,CONDO,2016.0
BC,Vancouver,748800.0,679.0,1.0,2.0,CONDO,1999.0
BC,Vancouver,649900.0,729.0,1.0,1.0,CONDO,1976.0
BC,Vancouver,1400000.0,2998.0,3.0,4.0,SINGLE_FAMILY_HOUSE,1974.0
BC,Vancouver,1899000.0,2142.0,4.0,7.0,SINGLE_FAMILY_HOUSE,2024.0
BC,Vancouver,610000.0,550.0,1.0,1.0,SINGLE_FAMILY_HOUSE,2002.0
BC,Vancouver,749000.0,717.0,1.0,2.0,SINGLE_FAMILY_HOUSE,2013.0
BC,Vancouver,398000.0,480.0,1.0,1.0,SINGLE_FAMILY_HOUSE,1982.0
BC,Vancouver,650000.0,739.0,1.0,1.0,CONDO,1995.0
BC,Vancouver,1099000.0,1370.0,3.0,2.0,TOWNHOUSE,1994.0
BC,Vancouver,1385000.0,1126.0,2.0,2.0,CONDO,1994.0
BC,Vancouver,899000.0,771.0,1.0,1.0,CONDO,2004.0
BC,Vancouver,958000.0,1179.0,2.0,2.0,CONDO,2007.0
BC,Vancouver,499900.0,538.0,1.0,1.0,CONDO,1997.0
BC,Vancouver,528000.0,465.0,1.0,1.0,CONDO,2014.0
BC,Vancouver,599900.0,696.0,1.0,1.0,CONDO,1957.0
BC,Vancouver,4850000.0,3319.0,5.0,5.0,SINGLE_FAMILY_HOUSE,2007.0
BC,Vancouver,579000.0,576.0,1.0,1.0,CONDO,2004.0
BC,Vancouver,2150000.0,1279.0,2.0,3.0,SINGLE_FAMILY_HOUSE,1953.0
BC,Vancouver,679000.0,629.0,1.0,1.0,SINGLE_FAMILY_HOUSE,2001.0
BC,Vancouver,1498000.0,972.0,2.0,2.0,SINGLE_FAMILY_HOUSE,2021.0
BC,Vancouver,599000.0,553.0,1.0,1.0,SINGLE_FAMILY_HOUSE,2003.0
BC,Vancouver,774999.0,726.0,1.0,2.0,SINGLE_FAMILY_HOUSE,2014.0
BC,Vancouver,2775000.0,2526.0,4.0,5.0,MULTI_FAMILY,1993.0
BC,Vancouver,1899000.0,2142.0,4.0,7.0,MULTI_FAMILY,2024.0
BC,Vancouver,2550000.0,2542.0,2.0,6.0,SINGLE_FAMILY_HOUSE,1947.0
BC,Vancouver,1400000.0,2998.0,3.0,4.0,SINGLE_FAMILY_HOUSE,1974.0
BC,Vancouver,1510000.0,1893.0,1.0,4.0,SINGLE_FAMILY_HOUSE,1912.0
BC,Vancouver,1049000.0,979.0,2.0,2.0,CONDO,2008.0
BC,Vancouver,610000.0,550.0,1.0,1.0,CONDO,2002.0
BC,Vancouver,1539900.0,1269.0,2.0,3.0,CONDO,2011.0
BC,Vancouver,749000.0,717.0,1.0,2.0,CONDO,2013.0
BC,Vancouver,619000.0,645.0,1.0,1.0,CONDO,1992.0
BC,Vancouver,1910000.0,1300.0,2.0,3.0,SINGLE_FAMILY_HOUSE,2003.0
BC,Vancouver,1330000.0,1138.0,2.0,2.0,CONDO,2021.0
BC,Vancouver,774999.0,726.0,1.0,2.0,CONDO,2014.0
BC,Vancouver,2599000.0,3778.0,6.0,10.0,SINGLE_FAMILY_HOUSE,1979.0
BC,Vancouver,1498000.0,972.0,2.0,2.0,CONDO,2021.0
BC,Vancouver,749999.0,905.0,1.0,2.0,SINGLE_FAMILY_HOUSE,1972.0
BC,Vancouver,3549000.0,3676.0,5.0,6.0,SINGLE_FAMILY_HOUSE,1912.0
BC,Vancouver,1565000.0,1423.0,3.0,2.0,SINGLE_FAMILY_HOUSE,2013.0
BC,Vancouver,1198800.0,936.0,3.0,3.0,SINGLE_FAMILY_HOUSE,2023.0
BC,Vancouver,739000.0,618.0,1.0,1.0,SINGLE_FAMILY_HOUSE,2014.0
BC,Vancouver,1329000.0,1128.0,2.0,2.0,SINGLE_FAMILY_HOUSE,2003.0
BC,Vancouver,2150000.0,1279.0,2.0,3.0,SINGLE_FAMILY_HOUSE,1953.0
BC,Vancouver,679000.0,629.0,1.0,1.0,CONDO,2001.0
BC,Vancouver,2048000.0,1695.0,4.0,3.0,MULTI_FAMILY,2025.0
BC,Vancouver,599000.0,553.0,1.0,1.0,CONDO,2003.0
BC,Vancouver,2550000.0,2542.0,2.0,6.0,SINGLE_FAMILY_HOUSE,1947.0
BC,Vancouver,1910000.0,1300.0,2.0,3.0,CONDO,2003.0
BC,Vancouver,1249000.0,1086.0,2.0,2.0,CONDO,2008.0
BC,Vancouver,1800000.0,2330.0,3.0,4.0,SINGLE_FAMILY_HOUSE,1966.0
BC,Vancouver,799000.0,802.0,1.0,2.0,CONDO,2025.0
BC,Vancouver,798000.0,462.0,1.0,1.0,SINGLE_FAMILY_HOUSE,2022.0
BC,Vancouver,658000.0,638.0,1.0,1.0,SINGLE_FAMILY_HOUSE,2007.0
BC,Vancouver,1585000.0,1655.0,2.0,2.0,SINGLE_FAMILY_HOUSE,1991.0
BC,Vancouver,1565000.0,1423.0,3.0,2.0,TOWNHOUSE,2013.0
BC,Vancouver,659000.0,653.0,1.0,1.0,CONDO,2007.0
BC,Vancouver,2798000.0,3000.0,4.0,4.0,MULTI_FAMILY,1988.0
BC,Vancouver,4998000.0,4968.0,4.0,7.0,SINGLE_FAMILY_HOUSE,1927.0
BC,Vancouver,559900.0,638.0,1.0,2.0,SINGLE_FAMILY_HOUSE,1982.0
BC,Vancouver,1399900.0,832.0,1.0,2.0,SINGLE_FAMILY_HOUSE,1949.0
BC,Vancouver,675000.0,553.0,1.0,1.0,SINGLE_FAMILY_HOUSE,2010.0
BC,Vancouver,749999.0,905.0,1.0,2.0,CONDO,1972.0
BC,Vancouver,500000.0,497.0,1.0,1.0,CONDO,2016.0
BC,Vancouver,798000.0,462.0,1.0,1.0,CONDO,2022.0
BC,Vancouver,1585000.0,1655.0,2.0,2.0,CONDO,1991.0
